facility_id,name,facility_type,latitude,longitude,accessibility_score,has_wheelchair_access,has_elevator,has_accessible_toilet,contact,address
1,Central Hospital,Hospital,40.7128,-74.0060,0.95,true,true,true,555-0101,123 Medical Ave
2,Downtown Pharmacy,Pharmacy,40.7138,-74.0070,0.88,true,false,true,555-0102,456 Drug Street
3,Main Station Toilet,Toilet,40.7148,-74.0080,0.92,true,true,true,555-0103,Central Station
4,Bella Vista Restaurant,Restaurant,40.7158,-74.0090,0.75,true,false,true,555-0104,789 Food Lane
5,City Bank,Bank,40.7168,-74.0100,0.85,true,true,true,555-0105,321 Finance Ave
6,Public Library,Library,40.7178,-74.0110,0.93,true,true,true,555-0106,654 Learning St
7,Police Precinct,Police Station,40.7188,-74.0120,0.80,true,false,true,555-0107,987 Law Blvd
8,Fire Station 5,Fire Station,40.7198,-74.0130,0.82,true,false,true,555-0108,159 Safety Road
9,Queens Hospital,Hospital,40.7208,-74.0140,0.94,true,true,true,555-0109,753 Health Ave
10,Park Café,Restaurant,40.7218,-74.0150,0.70,false,false,false,555-0110,852 Park Way